[2026-08-24T12:08:20.206Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYbSB4Zh.woff2 → 200 (?ms, -815B)
[2026-08-24T12:08:20.207Z] GET https://fonts.gstatic.com/s/librebaskerville/v24/kmKnZrc3Hgbbcjq75U4uslyuy4kn0qNZaxMaC82U.woff2 → 200 (?ms, -815B)
[2026-08-24T12:08:20.218Z] GET https://southeastaksupply.com/new_logo_kurt.jpg → 304 (105ms, 19B)
[2026-08-24T12:08:21.102Z] GET https://southeastaksupply.com/materials → 307 (97ms, ?B)
[2026-08-24T12:08:21.200Z] GET https://southeastaksupply.com/login?redirect=%2Fmaterials → 200 (100ms, ?B)
[2026-08-24T12:08:21.330Z] GET https://southeastaksupply.com/_next/static/chunks/05367awialsbn.css → 200 (1ms, ?B)
[2026-08-24T12:08:21.331Z] GET https://southeastaksupply.com/_next/static/chunks/1gdoryk6w2r8v.js → 200 (?ms, ?B)
[2026-08-24T12:08:21.357Z] GET https://southeastaksupply.com/_next/static/chunks/27jktro2p5rq9.js → 200 (?ms, ?B)
[2026-08-24T12:08:21.358Z] GET https://southeastaksupply.com/_next/static/chunks/0wgbl93fstlu9.js → 200 (?ms, ?B)
[2026-08-24T12:08:21.368Z] GET https://southeastaksupply.com/_next/static/chunks/2t2clertbxtfc.js → 200 (?ms, -456B)
[2026-08-24T12:08:21.368Z] GET https://southeastaksupply.com/_next/static/chunks/turbopack-2vj4-1z_ftx_p.js → 200 (?ms, -455B)
[2026-08-24T12:08:21.375Z] GET https://southeastaksupply.com/_next/static/chunks/05-c3ty_6dwfk.js → 200 (?ms, -454B)
[2026-08-24T12:08:21.375Z] GET https://southeastaksupply.com/_next/static/chunks/14mrh2-p_w84d.js → 200 (?ms, -455B)
[2026-08-24T12:08:21.380Z] GET https://southeastaksupply.com/_next/static/chunks/3i_xkm9s1hitb.js → 200 (?ms, -454B)
[2026-08-24T12:08:21.382Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@400;600&family=IBM+Plex+Sans:wght@300;400;500;600&family=Libre+Baskerville:wght@400;700&display=swap → 200 (?ms, -743B)
[2026-08-24T12:08:21.386Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (1ms, -814B)
[2026-08-24T12:08:21.387Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYbSB4Zh.woff2 → 200 (6ms, -815B)
[2026-08-24T12:08:21.393Z] GET https://fonts.gstatic.com/s/librebaskerville/v24/kmKnZrc3Hgbbcjq75U4uslyuy4kn0qNZaxMaC82U.woff2 → 200 (?ms, -815B)
[2026-08-24T12:08:21.399Z] GET https://southeastaksupply.com/new_logo_kurt.jpg → 304 (84ms, 19B)
[2026-08-24T12:08:22.299Z] GET https://southeastaksupply.com/checkout → pending (?ms, ?B)
[2026-08-24T12:08:22.400Z] GET https://southeastaksupply.com/login?redirect=%2Fcheckout → 200 (98ms, 2362B)
[2026-08-24T12:08:22.550Z] GET https://southeastaksupply.com/_next/static/chunks/05367awialsbn.css → 200 (?ms, -441B)
[2026-08-24T12:08:22.550Z] GET https://southeastaksupply.com/_next/static/chunks/1gdoryk6w2r8v.js → 200 (1ms, -455B)
[2026-08-24T12:08:22.552Z] GET https://southeastaksupply.com/_next/static/chunks/27jktro2p5rq9.js → 200 (?ms, -455B)
